ano_mes,id_curso,tx_nome_curso,count
2025-10,629,Aprendendo com Python,71
2025-10,724,Gestão de Riscos em Projetos de Transformação Digital,37
2025-10,787,Gestão de projetos,66
2025-10,797,Automação de Processos através da RPA para Transformação Digital,194
2025-10,802,Visualização de Dados Aplicada à Transformação Digital,42
2025-10,810,Desvendando a Inteligência Artificial na Administração Pública,371
2025-10,815,Storytelling com Dados para Comunicação Profissional de Sucesso,92
2025-10,861,Inteligência Artificial para simplificar o dia a dia,321
2025-10,956,Inovando na Gestão de Projetos,90
2025-10,976,Introdução à Ciência de Dados - Conceitos e Ferramentas,201
2025-10,1073,Segurança Cibernética: Controles 1 a 6 do CIS Controls,55
2025-10,1088,A História da IA,561
2025-10,1090,Ética em IA,254
2025-10,1091,Inteligência Artificial Generativa,417
2025-10,1139,Colaboração com o Microsoft 365,80
2025-10,1153,Fundamentos da Segurança Cibernética - Introdução ao CIS Controls,71
2025-10,1167,IA Generativo da Microsoft - Copilot,549
